epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7284,1.56679,1.92411,1.96036,0.04707,0.9956,0.99908,0.99457,0.79451,0.77771,0.66716,1.40148,0.00709,0.000653846,0.000653846,0.000653846
2,20.6316,0.72618,0.68466,1.2769,0.00385,0.99964,0.99908,0.995,0.86118,0.6032,0.51565,1.27228,0.00473,0.00131528,0.00131528,0.00131528
3,30.2323,0.65663,0.5527,1.21966,0.00343,0.99997,0.99908,0.995,0.84566,0.65363,0.4508,1.31594,0.00449,0.00197144,0.00197144,0.00197144
4,39.268,0.61526,0.49041,1.16434,0.003,0.99905,0.99908,0.995,0.87756,0.53182,0.40164,1.188,0.00371,0.00197624,0.00197624,0.00197624
5,51.7563,0.59903,0.45257,1.17067,0.00348,0.99745,0.99908,0.99498,0.89897,0.50434,0.38783,1.15558,0.00321,0.00196832,0.00196832,0.00196832
6,65.0423,0.58199,0.42942,1.15038,0.00228,0.99142,0.99908,0.99482,0.90313,0.47871,0.37449,1.12836,0.00298,0.0019604,0.0019604,0.0019604
7,78.6016,0.54041,0.40975,1.12693,0.00216,0.99992,1,0.995,0.90599,0.45255,0.33954,1.10727,0.00264,0.00195248,0.00195248,0.00195248
8,91.801,0.54251,0.39667,1.12231,0.002,0.9998,1,0.995,0.91091,0.45273,0.3425,1.11589,0.00285,0.00194456,0.00194456,0.00194456
9,104.75,0.53696,0.38667,1.113,0.002,1,0.99987,0.995,0.90883,0.4628,0.34918,1.05818,0.0028,0.00193664,0.00193664,0.00193664
10,117.747,0.53804,0.39398,1.10119,0.00224,0.99978,1,0.995,0.90223,0.46416,0.32371,1.06298,0.00349,0.00192872,0.00192872,0.00192872
11,131.235,0.52992,0.38062,1.10183,0.00225,0.99971,1,0.995,0.91942,0.42059,0.31411,1.06075,0.00259,0.0019208,0.0019208,0.0019208
12,144.442,0.52337,0.3691,1.10288,0.00158,0.99976,1,0.995,0.92056,0.41505,0.30991,1.07351,0.0025,0.00191288,0.00191288,0.00191288
13,157.625,0.5068,0.36205,1.08779,0.00173,0.99994,1,0.995,0.92519,0.40673,0.29481,1.05249,0.00236,0.00190496,0.00190496,0.00190496
14,170.812,0.509,0.36022,1.08231,0.00219,0.99983,1,0.995,0.92869,0.40148,0.29456,1.03189,0.0028,0.00189704,0.00189704,0.00189704
15,184.442,0.49673,0.34309,1.08172,0.00154,0.9999,1,0.995,0.92327,0.41363,0.30265,1.05031,0.00231,0.00188912,0.00188912,0.00188912
16,195.676,0.50989,0.35804,1.09743,0.00154,0.99987,1,0.995,0.92979,0.39987,0.28161,1.05884,0.0022,0.0018812,0.0018812,0.0018812
17,204.565,0.50821,0.34952,1.08342,0.00201,0.99994,1,0.995,0.91787,0.4112,0.28289,1.0941,0.0027,0.00187328,0.00187328,0.00187328
18,213.868,0.47255,0.32913,1.07058,0.00183,0.99809,1,0.995,0.92924,0.39534,0.27629,1.05771,0.00205,0.00186536,0.00186536,0.00186536
19,223.232,0.47454,0.3275,1.06274,0.00133,0.99993,1,0.995,0.92309,0.40327,0.27815,1.03392,0.00217,0.00185744,0.00185744,0.00185744
