epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,11.837,1.89921,3.82757,2.45727,0.12075,0.29491,0.21934,0.0753,0.03516,1.4095,2.94319,1.88187,0.03776,0.000192231,0.000192231,0.000192231
2,22.3191,1.3082,2.38703,1.52595,0.02714,0.41724,0.33174,0.21514,0.12653,1.10655,1.86941,1.42215,0.02811,0.000386693,0.000386693,0.000386693
3,32.6446,1.20784,1.73532,1.29878,0.02196,0.70464,0.47092,0.44662,0.28023,1.09117,1.55704,1.31549,0.02411,0.000579604,0.000579604,0.000579604
4,42.6705,1.15007,1.53441,1.23751,0.02117,0.81485,0.52614,0.60638,0.38648,1.04879,1.31994,1.30648,0.02837,0.000581015,0.000581015,0.000581015
5,52.5231,1.10108,1.33275,1.21136,0.02004,0.8676,0.59877,0.71169,0.47081,0.98959,1.11316,1.22442,0.02437,0.000578686,0.000578686,0.000578686
6,62.6907,1.05349,1.16369,1.16857,0.0184,0.63689,0.7423,0.78784,0.5281,0.97661,0.9778,1.17724,0.02121,0.000576358,0.000576358,0.000576358
7,72.9538,1.01742,1.03326,1.15743,0.01644,0.72221,0.81443,0.84817,0.56752,0.99032,0.83852,1.2092,0.01806,0.000574029,0.000574029,0.000574029
8,82.6283,0.98398,0.96457,1.13347,0.01624,0.84812,0.85395,0.89976,0.60653,0.92157,0.795,1.14949,0.02144,0.000571701,0.000571701,0.000571701
9,92.4906,0.95524,0.89208,1.12475,0.01424,0.88339,0.8805,0.91651,0.63215,0.8987,0.72293,1.14073,0.01273,0.000569372,0.000569372,0.000569372
10,102.16,0.94096,0.85025,1.11234,0.01269,0.88028,0.89777,0.93212,0.64491,0.86923,0.69837,1.12774,0.0102,0.000567044,0.000567044,0.000567044
11,111.838,0.90921,0.79739,1.10054,0.01204,0.90661,0.90022,0.94506,0.6623,0.86875,0.66227,1.14747,0.0111,0.000564715,0.000564715,0.000564715
12,121.519,0.90438,0.76364,1.09732,0.01217,0.90759,0.91682,0.95235,0.67869,0.8411,0.63032,1.11002,0.00941,0.000562387,0.000562387,0.000562387
13,131.19,0.88865,0.72975,1.07936,0.0107,0.92901,0.91617,0.95361,0.69299,0.82814,0.58851,1.10316,0.00988,0.000560058,0.000560058,0.000560058
14,140.82,0.8667,0.69356,1.07786,0.01113,0.92452,0.92315,0.95574,0.69349,0.81452,0.59084,1.10033,0.00837,0.00055773,0.00055773,0.00055773
15,150.552,0.86533,0.67489,1.08002,0.01049,0.94825,0.94407,0.96623,0.70543,0.81971,0.55144,1.09751,0.00963,0.000555401,0.000555401,0.000555401
16,160.209,0.85806,0.66186,1.06862,0.0099,0.92078,0.9288,0.95379,0.67965,0.84723,0.57656,1.11144,0.00801,0.000553073,0.000553073,0.000553073
17,169.788,0.8418,0.64311,1.05639,0.00824,0.95087,0.93837,0.97133,0.73242,0.77301,0.5242,1.0762,0.00753,0.000550744,0.000550744,0.000550744
18,179.759,0.82833,0.62167,1.05591,0.0084,0.95112,0.96215,0.97713,0.74088,0.7669,0.50271,1.07587,0.00726,0.000548416,0.000548416,0.000548416
19,189.749,0.83172,0.61584,1.06101,0.00838,0.95923,0.96158,0.97821,0.74172,0.77677,0.49844,1.08216,0.00851,0.000546087,0.000546087,0.000546087
20,199.659,0.82866,0.60439,1.05602,0.00866,0.95051,0.96185,0.97904,0.74277,0.77133,0.48826,1.0723,0.00676,0.000543759,0.000543759,0.000543759
21,209.328,0.83816,0.59765,1.06161,0.00827,0.9514,0.95514,0.97125,0.70633,0.85821,0.50491,1.13648,0.00715,0.00054143,0.00054143,0.00054143
22,219.245,0.8253,0.58309,1.0566,0.00761,0.95844,0.95954,0.97746,0.73719,0.77548,0.46911,1.0794,0.00698,0.000539102,0.000539102,0.000539102
23,228.817,0.82645,0.5813,1.06543,0.00706,0.95304,0.95918,0.97416,0.74618,0.75252,0.47073,1.07654,0.00587,0.000536773,0.000536773,0.000536773
24,238.543,0.81948,0.57961,1.05831,0.008,0.95106,0.96948,0.97953,0.7445,0.76006,0.46168,1.07301,0.00681,0.000534445,0.000534445,0.000534445
25,248.328,0.8068,0.56227,1.06132,0.00802,0.96727,0.96064,0.98094,0.74846,0.74332,0.46662,1.05981,0.00617,0.000532116,0.000532116,0.000532116
26,258.142,0.80691,0.56172,1.05214,0.0075,0.97208,0.96745,0.98198,0.75119,0.74595,0.45491,1.06798,0.00594,0.000529788,0.000529788,0.000529788
